variant,label,signal_date,signal_close,effective_from,exit_date,exit_price,exit_origin,status,net_return,trade_drawdown,trade_days,baseline_next_buy,days_to_baseline_buy,rsi,momentum_7d,volume_rel_20,distance_sma200,sma50_slope_5d,confirmation_reference,confirmation_margin
rsi40_mean5,Sensibilita': RSI >=40 e media5,2023-01-06,1268.84,2023-01-07,2023-03-03,1569.54,sma50_exit,closed,0.23303291984994168,-0.09872074098894257,56,2023-02-15,40.0,59.159195113766316,0.05816028688182806,0.2651971681357934,-0.08657795325115425,0.0012527289960140298,1227.008,0.03409268725224268
rsi40_mean5,Sensibilita': RSI >=40 e media5,2023-10-24,1785.28,2023-10-25,2024-01-23,2240.81,sma50_exit,closed,0.2511455595052876,-0.14417696911366495,91,2023-11-22,29.0,72.72115346446685,0.1405790805243925,2.1173409985681864,0.00014263102362566116,0.003394698561620224,1646.5040000000001,0.08428524923109793
rsi40_mean5,Sensibilita': RSI >=40 e media5,2024-11-06,2724.27,2024-11-07,2024-12-18,3624.84,trail8_exit,closed,0.3263185336219978,-0.09531665314781301,42,2024-12-09,33.0,61.016214229448266,0.024870587173082104,2.0410025321143843,-0.07900863009147197,0.0053974182089220335,2455.904,0.1092738152631374
rsi40_mean5,Sensibilita': RSI >=40 e media5,2025-05-12,2495.83,2025-05-13,2025-06-05,2415.34,trail8_exit,closed,-0.03534411587712305,-0.09947952396575888,24,2025-07-02,51.0,78.29046314900906,0.37122215202043773,0.5578141417361171,-0.07587598973582255,0.02425600056888433,2292.464,0.0887106624138918
rsi40_mean5,Sensibilita': RSI >=40 e media5,2025-06-10,2816.5,2025-06-11,2025-06-13,2580.21,trail8_exit,closed,-0.08682409609884623,-0.0838949050239659,3,2025-07-02,22.0,67.1300706139388,0.08534390739220732,1.185290178573573,0.05977045142496151,0.045761698199809464,2522.3579999999997,0.11661389858219984
rsi40_mean5,Sensibilita': RSI >=40 e media5,2026-01-06,3295.59,2026-01-07,2026-01-20,2936.5,sma50_exit,closed,-0.1118098072150967,-0.12469223386053507,14,,,68.54809241231482,0.1094693679681662,0.5843875941177006,-0.08726234399307764,0.0019207979396462793,3123.882,0.054966224716554546
rsi40_mean5,Sensibilita': RSI >=40 e media5,2026-07-28,1919.9,2026-07-29,,,,open,0.25950559924996086,-0.039960414604927386,25,,,58.17682597199675,-0.0047174701918091255,0.21681209731332074,-0.09784241770713697,0.013799512323345198,1890.666,0.015462276256091867
rsi40_mean10,Sensibilita': RSI >=40 e media10,2017-01-11,9.95,2017-01-12,2017-03-08,16.68,trail8_exit,closed,0.6710217789748743,-0.15243902439024393,56,2017-03-18,66.0,58.15477995360004,-0.1092211280214862,0.5440908398012059,-0.08860666736891287,0.007578097161182962,9.913,0.003732472510844298
rsi40_mean10,Sensibilita': RSI >=40 e media10,2018-05-03,775.51,2018-05-04,2018-05-11,678.05,trail8_exit,closed,-0.12846774921277626,-0.16496305418719215,8,2019-04-23,355.0,71.61990046759124,0.17323751891074135,0.46839802995781965,0.18793984705567435,0.003179446066632119,666.292,0.16391912254687124
rsi40_mean10,Sensibilita': RSI >=40 e media10,2019-03-27,139.08,2019-03-28,2019-04-11,164.92,trail8_exit,closed,0.18200084983606524,-0.08752904725019373,15,2019-04-23,27.0,56.30464199513452,0.0025228861817920833,0.4122320856994015,-0.09182712980348706,0.02225603868465975,136.01799999999997,0.022511726389154774
