date,event,reason,mode,cooldown_days,entry_date,entry_close,exit_close,trade_return,peak_close,stop_level,momentum_7d,volume_rel,official_buy_still_true,days_since_trail,reset_seen_red,green_streak
2021-04-26,BLOCKED_ENTRY,cooldown_30,cooldown,30,,2534.481689453125,,,,,,,,19.0,False,0.0
2021-07-26,ENTRY,Buy,cooldown,30,2021-07-26,2233.36669921875,,,,,,,,,,
2021-09-07,EXIT,Trail8,cooldown,30,2021-07-26,2233.36669921875,3426.394287109375,0.5341834765907254,3952.133544921875,3635.962861328125,-0.0021371433422524566,0.858029185425466,False,,,
2021-10-01,BLOCKED_ENTRY,cooldown_30,cooldown,30,,3307.51611328125,,,,,,,,24.0,False,0.0
2021-10-06,BLOCKED_ENTRY,cooldown_30,cooldown,30,,3580.56201171875,,,,,,,,29.0,False,0.0
2021-10-14,ENTRY,Buy,cooldown,30,2021-10-14,3786.01416015625,,,,,,,,,,
2021-11-23,EXIT,Trail8,cooldown,30,2021-10-14,3786.01416015625,4340.763671875,0.14652600023446705,4812.08740234375,4427.12041015625,0.029503714831393024,0.20769973524292995,True,,,
2021-11-25,BLOCKED_ENTRY,cooldown_30,cooldown,30,,4274.7431640625,,,,,,,,2.0,False,0.0
2021-11-30,BLOCKED_ENTRY,cooldown_30,cooldown,30,,4631.47900390625,,,,,,,,7.0,False,0.0
2021-12-01,BLOCKED_ENTRY,cooldown_30,cooldown,30,,4586.990234375,,,,,,,,8.0,False,0.0
2021-12-02,BLOCKED_ENTRY,cooldown_30,cooldown,30,,4511.30224609375,,,,,,,,9.0,False,0.0
2021-12-03,BLOCKED_ENTRY,cooldown_30,cooldown,30,,4220.7060546875,,,,,,,,10.0,False,0.0
2023-02-15,ENTRY,Buy,cooldown,30,2023-02-15,1673.7459716796875,,,,,,,,,,
2023-03-04,EXIT,Official_Sell,cooldown,30,2023-02-15,1673.7459716796875,1566.9239501953125,-0.06382212312491709,,,,,,,,
2023-03-13,ENTRY,Buy,cooldown,30,2023-03-13,1680.3089599609375,,,,,,,,,,
2023-04-19,EXIT,Trail8,cooldown,30,2023-03-13,1680.3089599609375,1936.4034423828125,0.15240916315046515,2120.005859375,1950.405390625,0.008185276074555325,0.4907137429563302,True,,,
2023-05-05,BLOCKED_ENTRY,cooldown_30,cooldown,30,,1995.0609130859373,,,,,,,,16.0,False,0.0
2023-05-28,ENTRY,Buy,cooldown,30,2023-05-28,1910.9141845703125,,,,,,,,,,
2023-06-01,EXIT,Official_Sell,cooldown,30,2023-05-28,1910.9141845703125,1862.201416015625,-0.025491866117285156,,,,,,,,
2023-06-02,ENTRY,Buy,cooldown,30,2023-06-02,1907.256591796875,,,,,,,,,,
2023-06-08,EXIT,Official_Sell,cooldown,30,2023-06-02,1907.256591796875,1846.3018798828125,-0.0319593662311769,,,,,,,,
2023-06-21,ENTRY,Buy,cooldown,30,2023-06-21,1891.0072021484373,,,,,,,,,,
2023-08-03,EXIT,Official_Sell,cooldown,30,2023-06-21,1891.0072021484373,1835.136474609375,-0.029545486381852837,,,,,,,,
2023-11-22,ENTRY,Buy,cooldown,30,2023-11-22,2064.42529296875,,,,,,,,,,
2024-01-23,EXIT,Official_Sell,cooldown,30,2023-11-22,2064.42529296875,2240.68603515625,0.08538005360999423,,,,,,,,
2024-01-31,ENTRY,Buy,cooldown,30,2024-01-31,2282.54443359375,,,,,,,,,,
2024-02-01,EXIT,Official_Sell,cooldown,30,2024-01-31,2282.54443359375,2303.82470703125,0.009323048929214206,,,,,,,,
2024-02-06,ENTRY,Buy,cooldown,30,2024-02-06,2372.201904296875,,,,,,,,,,
2024-03-15,EXIT,Trail8,cooldown,30,2024-02-06,2372.201904296875,3735.22021484375,0.5745793846965468,4066.445068359375,3741.1294628906253,-0.04029762608956711,0.3974100346183247,False,,,
2024-04-08,BLOCKED_ENTRY,cooldown_30,cooldown,30,,3695.292724609375,,,,,,,,24.0,False,0.0
2024-04-09,BLOCKED_ENTRY,cooldown_30,cooldown,30,,3505.163330078125,,,,,,,,25.0,False,0.0
2024-04-10,BLOCKED_ENTRY,cooldown_30,cooldown,30,,3543.737060546875,,,,,,,,26.0,False,0.0
2024-06-20,ENTRY,Buy,cooldown,30,2024-06-20,3511.0869140625,,,,,,,,,,
2024-06-24,EXIT,Official_Sell,cooldown,30,2024-06-20,3511.0869140625,3350.25634765625,-0.045806489654840576,,,,,,,,
2024-07-15,ENTRY,Buy,cooldown,30,2024-07-15,3489.552734375,,,,,,,,,,
2024-07-17,EXIT,Official_Sell,cooldown,30,2024-07-15,3489.552734375,3388.75244140625,-0.028886307398590994,,,,,,,,
2024-07-19,ENTRY,Buy,cooldown,30,2024-07-19,3505.73486328125,,,,,,,,,,
2024-07-25,EXIT,Official_Sell,cooldown,30,2024-07-19,3505.73486328125,3174.42724609375,-0.09450447056267319,,,,,,,,
2024-12-09,ENTRY,Buy,cooldown,30,2024-12-09,3718.6904296875,,,,,,,,,,
2024-12-22,EXIT,Official_Sell,cooldown,30,2024-12-09,3718.6904296875,3277.53515625,-0.1186318898490758,,,,,,,,
2025-01-07,ENTRY,Buy,cooldown,30,2025-01-07,3381.577392578125,,,,,,,,,,
2025-01-08,EXIT,Official_Sell,cooldown,30,2025-01-07,3381.577392578125,3326.329345703125,-0.016337951334858714,,,,,,,,
2025-07-02,ENTRY,Buy,cooldown,30,2025-07-02,2571.33544921875,,,,,,,,,,
2025-07-05,EXIT,Official_Sell,cooldown,30,2025-07-02,2571.33544921875,2517.280029296875,-0.02102231349795247,,,,,,,,
2025-07-07,ENTRY,Buy,cooldown,30,2025-07-07,2543.01318359375,,,,,,,,,,
2025-08-18,EXIT,Trail8,cooldown,30,2025-07-07,2543.01318359375,4312.5048828125,0.6958248233373803,4756.27587890625,4375.77380859375,0.0202362805406322,0.2868700908679822,True,,,
2025-08-25,BLOCKED_ENTRY,cooldown_30,cooldown,30,,4372.98779296875,,,,,,,,7.0,False,0.0
2025-08-26,BLOCKED_ENTRY,cooldown_30,cooldown,30,,4600.4267578125,,,,,,,,8.0,False,0.0
2025-09-12,BLOCKED_ENTRY,cooldown_30,cooldown,30,,4715.24609375,,,,,,,,25.0,False,0.0
2025-09-15,BLOCKED_ENTRY,cooldown_30,cooldown,30,,4526.8203125,,,,,,,,28.0,False,0.0
2025-09-17,ENTRY,Buy,cooldown,30,2025-09-17,4592.7333984375,,,,,,,,,,
2025-09-23,EXIT,Official_Sell,cooldown,30,2025-09-17,4592.7333984375,4165.50390625,-0.09302292450348815,,,,,,,,
2025-10-02,ENTRY,Buy,cooldown,30,2025-10-02,4487.923828125,,,,,,,,,,
2025-10-10,EXIT,Official_Sell,cooldown,30,2025-10-02,4487.923828125,3843.0087890625,-0.14370008577706583,,,,,,,,
2019-04-23,ENTRY,Buy,reset_green,0,2019-04-23,171.4477996826172,,,,,,,,,,
2019-06-27,EXIT,Trail8,reset_green,0,2019-04-23,171.4477996826172,294.26763916015625,0.7163687122547049,336.753173828125,309.812919921875,0.08308077523486168,0.6093775589474111,True,,,
2019-06-28,BLOCKED_ENTRY,wait_red_condition,reset_green,0,,311.2261047363281,,,,,,,,1.0,False,0.0
