Data,Open,High,Low,Close,ETH-USD,SMA50,SMA200,RSI,ATR,Volume,VolumeAvg20,Azione,Livello_Rischio,Standard_Entry,Breakout_Raw,Breakout_Guard_Passed,Breakout_Entry,Entry_Path,Position_Open,Official_Sell,Trail8_Stop_Hit,Trail8_Confirmed
2020-04-07,171.56,176.82,161.47,164.57,164.57,180.5262,172.96305,56.4631374298049,15.372391733731,533130.95121358,247420.67662502947,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-04-08,164.54,174.77,163.49,173.36,173.36,178.3272,172.75584999999998,59.85213476810818,15.080078038464501,192588.6023951,232702.54615312698,VENDI,BASSO,False,False,True,False,,False,True,False,False
2020-04-09,173.43,173.55,165.32,169.75,169.75,176.549,172.5491,57.86010277235908,14.590786750002753,165254.80474587,209639.01378914397,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-04-10,169.71,170.39,152.3,158.1,158.1,174.563,172.33559999999997,51.86131378153952,14.840730553573982,258810.1653336,209610.50652760148,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-04-11,158.1,161.5,154.2,158.55,158.55,172.418,172.29705,52.06803302563701,14.302106942604413,96587.83228092,201342.04346554348,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-04-12,158.68,165.45,155.31,158.87,158.87,170.3538,172.24140000000003,52.22514460841634,14.00481358956124,133037.62244785,188377.20735956248,VENDI,ALTO,False,False,True,False,,False,True,False,False
2020-04-13,158.82,159.44,149.7,156.76,156.76,167.97940000000003,172.19594999999998,51.037224693807985,13.700184047449724,233848.97745777,183655.82463444048,VENDI,ALTO,False,False,True,False,,False,True,False,False
2020-04-14,156.76,163.0,155.56,158.65,158.65,165.84619999999998,172.11700000000002,52.08848779829513,13.253028044060459,198839.23382124,182195.60463370002,VENDI,ALTO,False,False,True,False,,False,True,False,False
2020-04-15,158.68,161.5,152.17,152.77,152.77,163.9716,172.01135000000002,48.59291347902616,12.972811755198999,142489.51028959,180889.490345376,VENDI,ALTO,False,False,True,False,,False,True,False,False
2020-04-16,152.76,175.2,148.08,172.55,172.55,162.9526,172.02720000000002,58.64653143093413,13.983325201256212,376129.26054849,191006.607366799,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-04-17,172.58,175.1,168.5,170.89,170.89,161.81779999999998,171.9758,57.62794242523268,13.455944829737913,136537.58680864,189192.88988727,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-04-18,170.85,191.22,170.69,187.88,187.88,161.028,172.03445,64.43618432002916,13.961234484756632,320092.58324239,200544.148042269,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-04-19,187.85,189.92,176.53,180.39,180.39,160.2896,172.0323,59.86917576325503,13.92043202155973,194900.14018716,202588.24308513402,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-04-20,180.28,186.67,166.4,170.5,170.5,159.3544,172.00955000000002,54.387649978608785,14.37397259144832,280053.96893369,212260.280044777,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-04-21,170.39,174.93,168.44,171.07,171.07,158.1334,171.98505,54.64539059381423,13.810831692059155,169875.06657111,215798.9074804425,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-04-22,171.05,184.41,170.02,183.11,183.11,157.3206,172.01695,59.81123569981053,13.852200856912072,178433.47878367,213995.52436955,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-04-23,183.1,194.86,178.44,185.66,185.66,156.5426,172.09434999999996,60.82885330314916,14.035615081418353,271745.32794126,221554.91907699298,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-04-24,185.65,189.91,184.97,187.84,187.84,155.7266,172.13225000000003,61.72121134243611,13.385928289888472,125300.66822971,223549.447165485,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-04-25,187.92,198.2,185.97,194.42,194.42,154.7038,172.20075,64.36033959444963,13.303361983467866,147021.91304917,227661.64777650504,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-04-26,194.42,200.0,192.54,197.83,197.83,153.90540000000001,172.2236,65.68087978847088,12.885978984648734,134905.32156149,214479.150792115,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-04-27,197.8,199.41,189.6,196.78,196.78,153.8518,172.24855,64.88366917463047,12.666266200030968,165535.9963748,196099.403050176,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-04-28,196.88,197.95,192.5,196.67,196.67,153.72979999999998,172.3277,64.79494064666335,12.15081861431447,105608.41827873,191750.39384435752,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-04-29,196.64,219.59,196.64,215.66,215.66,154.033,172.50670000000002,71.93117457067841,12.92218871329201,377357.2932836,202355.51827124401,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
